index,speaker,text
0,GORILLA,"Hello,"
1,DRAGON,"she said, coy and shy,"
2,GORILLA,"Your teeth, they're big and shiny, oh my!"
3,DRAGON,"Kate was about to turn and run,"
4,LANA IGUANA,"Wait Kate, Pepe's actually quite fun."
5,GORILLA,"Oh really, with those sharp big teeth,"
6,DRAGON,"Gesturing to her side,"
7,GORILLA,It looks like he wants some beef.
8,LANA IGUANA,"Seriously Kate, he's really so nice,"
9,LANA IGUANA,He's making friends and taking advice.
10,DRAGON,"Well, after Lana vouched and told the truth,"
11,DRAGON,Kate called over her friend named Ruth.
